Product ID;Name *;price netto;price brutto;Supplier;Description;Image;Cout;TaxID;Category
11;Lampa Wisząca Chromowana Kule Metal;160,15;207,99;Light Home;"<p align=""left""><strong>Nowoczesna lampa wisząca metalowa 2 kule</strong></p><p align=""left"">Unikatowy design, metaliczny połysk oraz funkcjonalność dają idealną lampę wiszącą ! Dwu płomienna lampa znakomicie oświetli zarówno małe jak i duże pomieszczenia.</p><p align=""left""><strong>Do jakich wnętrz pasuje dane oświetlenie sufitowe?</strong></p><p align=""left"">Lampa, dzięki jednolitemu kolorowi, będzie pasować do kuchni, jadalni, pokoju czy biura. Drobne klosze zawieszone na belce świetnie ozdobią wnętrza urządzone zarówno w nowoczesnym jak i klasycznym stylu.</p><p align=""left""><strong>Czy prezentowana lampa sufitowa jest funkcjonalna?</strong></p><p align=""left"">Oczywiście, że tak! Lampa oprócz wyjątkowego wyglądu posiada także szereg przydatnych opcji. Możliwość podłączenia pod podwójny przełącznik czy regulacja wysokości to niezwykle praktyczne funkcje, jakie może posiadać oświetlenie sufitowe. Lampa jest w całości metalowa, a jednym z jej źródeł światła mogą być żarówki LED.</p>";https://light-home.pl/843-thickbox_default/lampa-wiszaca-kule.jpg;100;5;Lampy wiszące regulowane
12;Lampa Wisząca Dekoracyjna Industrialna;109,33;141,99;Light Home;<p><strong>Lampa sufitowa Loft 5-płomienna trzy kolory</strong></p><p>Chcesz dodać swoim wnętrzom oryginalności i nowoczesnego stylu? Lampa w stylu loft pomoże Ci osiągnąć wymarzony efekt. Niepowtarzalny kształt konstrukcji oraz brak kloszy będą prezentować się niezwykle stylowo i designersko w Twoich wnętrzach.</p><p><strong>W jakich pomieszczeniach nowoczesny żyrandol prezentuje się najlepiej?</strong><br>Lampa pasuje nie tylko do wnętrz w stylu loft. Jest wspaniałą dekoracją również dla nowoczesnych oraz minimalistycznych pomieszczeń, którym nada wyjątkowego klimatu. Lampa posiada aż 5 źródeł zasilania, dzięki czemu jest znakomitym oświetleniem do salonu bądź jadalni, gdzie będzie pełnić rolę lampy zawieszonej w centralnym punkcie wnętra.</br></p><p><strong>Jakie zalety posiada żyrandol w stylu loft?</strong><br/>Lampa sufitowa wykonana jest z wytrzymałych materiałów, które zapewniają radość z użytkowania żyrandolu na długi czas. Lampa posiada 3 kolory konstrukcji do wyboru, dzięki czemu z łatwością dopasujesz żyrandol do stylu pomieszczenia. Chromowane podkloszówki dodają lampie sufitowej designerskiego wyglądu. Ze względu na brak kloszy, żyrandol może być zasilany żarówkami dekoracyjnymi, które swoim niepowtarzalnym designem ozdobią Twoje wnętrza.</p>;https://light-home.pl/3293-thickbox_default/lampa-wiszaca-dekoracyjna-industrialna.jpg;100;5;Lampy wiszące nowoczesne
13;Nowoczesna Lampa Kinkiet Loft Miedź Chrom;33,1;42,99;Light Home;<p><strong>Kinkiet Loft Miedź Chrom</strong></p><p>Minimalistyczny styl, solidne wykonanie oraz oryginalny wygląd kinkietu nadadzą Twoim wnętrzom wyjątkowego klimatu.</p><p><strong>Do jakich pomieszczeń pasuje prezentowany kinkiet?</strong></p><p>Lampa ścienna świetnie prezentuje się zarówno w kuchni, jadalni jak i salonie czy sypialni. Dzięki czarnej konstrukcji połączonej z miedzianymi lub chromowymi dodatkami, kinkiet znakomicie dopasowuje się do każdego stylu wnętrza.</p><p><strong>Jakie zalety posiada nowoczesny kinkiet?</strong></p><p>Lampa stworzona jest metalu wysokiej jakości, co gwarantuje użyteczność kinkietu na bardzo długi czas. Lampa może być zasilana wieloma rodzajami żarówek, w tym dekoracyjnymi, które wspaniale ozdobią Twoje wnętrza, nadając im niepowtarzalnego klimatu.</p>;https://light-home.pl/1288-thickbox_default/nowoczesna-lampa-kinkiet-loft-miedz-chrom.jpg;100;5;Kinkiety nowoczesne
14;Lampa Sufitowa Plafon Loft Retro;42,35;55,00;Light Home;<p><strong>Lampa sufitowa plafon w stylu retro</strong><br><br/>Wyjątkowy design plafonu nada Twoim wnętrzom niepowtarzalnego charakteru. Klosz odsłaniający żarówkę to nowoczesne rozwiązanie, dzięki któremu pomieszczenie jest w pełni oświetlone, a także pełni funkcję niezwykłej, przyciągającej uwagę ozdoby.</br></p><p><strong>W jakich wnętrzach najlepiej prezentuje się nowoczesny plafon?</strong></p><p>Minimalistyczny styl lampy sufitowej pozwala na dopasowanie jej do wielu pomieszczeń – kuchnia, jadalnia, salon, sypialnia czy biuro – plafon będzie wspaniale komponować się z każdą aranżacją. Lampa dostępna jest w trzech klasycznych kolorach, dzięki czemu idealnie wkomponujesz plafon do stylu pomieszczenia.</p><p><strong>Jakie zalety posiada lampa sufitowa?</strong></p><p>Plafon wykonany jest z solidnego metalu, dzięki czemu masz gwarancję niezawodności i wytrzymałości oświetlenia. Plafon może być zasilany wieloma rodzajami żarówek – ledowymi, E-27, energooszczędnymi lub zwykłymi.</p>;https://light-home.pl/1298-thickbox_default/lampa-sufitowa-plafon-loft-retro.jpg;100;5;Plafony nowoczesne
15;Lampa Wisząca z Abażurem Nowoczesna Stylowa;83,92;108,99;Light Home;"<p><strong>Lampa wisząca z podwójnym abażurem wiele kolorów</strong></p><p>Oświetlenie, które będzie stanowić wspaniałą ozdobę Twojej aranżacji! Możesz wybrać dowolne kolorów abażurów i cieszyć się własną, niepowtarzalną lampą wiszącą.</p><p><strong>Do jakich wnętrz pasuje stylowa lampa?</strong></p><p>Oświetlenie znakomicie prezentuje się w każdym pomieszczeniu – salon, kuchnia, sypialnia, jadalnia i wiele innych. Dzięki możliwości wybrania kolory linki, abażura górnego i dolnego tworzysz indywidualną lampę, która idealnie oddaje charakter Twojego wnętrza.</p><p><strong>Czy lampa posiada praktyczne funkcje?</strong></p><p>Oczywiście, że tak! Lampa ma regulowaną wysokość, która pozwala perfekcyjnie dostosować oświetlenie do rozmiaru pomieszczenia. Podsufitka lampy wykonana jest z metalu, a abażury z materiału. Solidne materiały gwarantują niezawodność i wytrzymałość oświetlenia. Lampa może być zasilana wieloma rodzajami źródeł światła E-27, na przykład żarówkami LED, energooszczędnymi bądź zwykłymi.</p><p></p><p></p><p><img alt=""kolor abazura.jpg"" height=""824"" src=""https://light-home.pl/img/cms/kolor%20abazura.jpg"" width=""965""/><img alt=""kolor linki 3.jpg"" height=""797"" src=""https://light-home.pl/img/cms/kolor%20linki%203.jpg"" width=""590""/></p>";https://light-home.pl/1764-thickbox_default/lampa-z-abazurem-nowoczesna-stylowa-wiszaca.jpg;100;5;Plafony nowoczesne
16;Lampa Plafon Reflektor Dwa Kolory;202,5;262,99;Light Home;"<p><strong>Lampa 2-punktowa plafon reflektor</strong></p><p>Nowoczesny, a zarazem minimalistyczny styl lampy sufitowej doda Twoim wnętrzom elegancji i niezwykłego uroku.</p><p><strong>Do jakich pomieszczeń pasuje stylowy plafon?</strong></p><p>Lampa może zawisnąć w absolutnie każdym wnętrzu – od sypialni, salonu po kuchnię czy biuro. Dzięki prostemu i klasycznemu stylowi, lampa znakomicie dopasowuje się do wszystkich aranżacji pomieszczeń. Klasyczne kolory plafonu pozwalają na łatwe skomponowanie go z detalami wystroju.</p><p><strong>Jakie zalety posiada lampa sufitowa?</strong></p><p>Oświetlenie posiada możliwość regulacji kąta światła, dzięki czemu można ustawić je pod dowolnym kierunkiem. Plafon wykonany jest z materiałów najwyższej jakości, co gwarantuje niezawodność reflektora. Ponadto lampa posiada opcję podłączenia pod podwójny przełącznik. Plafon zasilany jest żarówkami LED AR111 GU10.<br><img alt="""" height=""203"" src=""https://light-home.pl/img/cms/wybor/Oprawa-natynkowa-AURIS-LED-2.jpg"" width=""767""/></br></p>";https://light-home.pl/6405-thickbox_default/lampa-sufitowa-plafon-reflektor.jpg;100;5;Lampa Plafon Reflektor Dwa Kolory 
17;Lampa Aluminiowa Nowoczesny Kwadratowy Kinkiet;46,2;60,00;Light Home;<p><strong>Stylowy kwadratowy kinkiet w trzech kolorach</strong></p><p>Prosty, lecz nowoczesny design lampy ściennej sprawi, że Twoje wnętrza staną się stylowe i eleganckie. Minimalistyczny styl oświetlenia świetnie prezentuje się w każdym pomieszczeniu, niezależnie od jego przeznaczenia.</p><p><strong>Gdzie najlepiej zawiesić prezentowany kinkiet?</strong></p><p>Lampa będzie rewelacyjnie wyglądać jako oświetlenie do salonu. Kinkiet może pełnić funkcję oświetlenia wspomagającego, którego będziesz używać przy mniej wymagających czynnościach. Natomiast oświetleniem głównym może zostać plafon stworzony w tym samym stylu, co prezentowany kinkiet. Dzięki takiemu rozwiązaniu uzyskasz spójność stylów, przez co salon będzie wyglądał elegancko i nowocześnie. Zestawienie dwóch lamp świetnie sprawdzi się również w sypialni, kuchni, jadalni czy biurze. Kinkiet znakomicie komponuje się również z lampami wiszącymi.</p><p><strong>Jakie zalety posiada kwadratowy kinkiet?</strong></p><p>Lampa została wykonana z metalu, dzięki czemu jest wytrzymała i odporna na uszkodzenia. Kinkiet stworzony jest w trzech klasycznych kolorach, aby dopasowanie do stylu pomieszczenia było jeszcze łatwiejsze. Kinkiet może być zasilany żarówkami halogenowymi lub ledowymi G9.</p>;https://light-home.pl/2182-thickbox_default/lampa-kinkiet-metalowa-stylowa.jpg;100;5;Kinkiety klasyczne
18;Nowoczesna Lampa Sufitowa Plafon Kinkiet Reflektor;151,68;196,99;Light Home;"<p><strong>Lampa 2-punktowa reflektor kinkiet</strong></p><p>Szukasz oświetlenia o minimalistycznym stylu, które wprowadzi do Twoich wnętrz mnóstwo nowoczesności? Przedstawiamy lampę sufitową o prostym designie z wieloma praktycznymi funkcjami.</p><p><strong>Gdzie zawiesić nowoczesny plafon?</strong></p><p>Reflektor może stać się wspaniałą lampą biurową, kuchenną, sypialnianą czy nawet łazienkową. Stonowane kolory konstrukcji umożliwiają dopasowanie oświetlenia do każdego stylu i charakteru pomieszczenia.</p><p><strong>Jakie zalety posiada 2-płomienna lampa?</strong></p><p>Oświetlenie posiada możliwość zawieszenia zarówno na ścianie jak i na suficie, dzięki czemu możesz stworzyć stylowy plafon lub elegancki kinkiet. Dodatkowo lampa posiada opcję regulowania reflektorów, co pozwala na ustawienie światła pod dowolnym kątem i kierunkiem. Plafon wykonany jest z tworzyw wysokiej jakości, przez co masz gwarancję wytrzymałości lampy sufitowej. Kinkiet może być zasilany żarówkami LED AR111 GU10.<br><br/><img alt="""" height=""203"" src=""https://light-home.pl/img/cms/wybor/Lampa-spot-2-plomienna.jpg"" width=""767""/></br></p>";https://light-home.pl/6436-thickbox_default/lampa-kinkiet-plafon-reflektor.jpg;100;5;Nowoczesna Lampa Sufitowa Plafon Kinkiet Reflektor 
19;Oryginalna Lampa Loft Edison Miedziana Industrialna;126,27;163,99;Light Home;<p><strong>Lampa sufitowa Loft Miedziana 5-płomienna</strong></p><p>Lampa idealna dla stylowych loftów i nie tylko! Miedziana konstrukcja o oryginalnym kształcie uczyni Twoje wnętrza niezwykle stylowymi i efektownymi. Odsłonięte żarówki nadadzą pomieszczeniu nowoczesności, a także sprawią, że wnętrze będzie maksymalnie doświetlone.</p><p><strong>Gdzie najlepiej zawiesić 5-punktową lampę industrialną?</strong></p><p>Lampa świetnie sprawdzi się w roli oświetlenia do salonu, ze względu na sporą liczbę źródeł światła. Lampa z powodzeniem oświetli nawet bardzo duże lofty. Dodatkowo do lampy sufitowej możesz dobrać kinkiet stworzony w identycznym stylu. Dzięki takiemu rozwiązaniu zachowasz jedność stylów. Lampa może również oświetlać Twoją sypialnię, kuchnię czy jadalnię – ciepły, miedziany kolor nada magicznego klimatu każdemu wnętrzu.</p><p><strong>Jakie przydatne cechy posiada nowoczesna lampa sufitowa?</strong></p><p>Solidne wykonanie i wysokiej jakości metal wykorzystany do produkcji oświetlenia, sprawi, że będziesz cieszyć się z użytkowania lampy przez bardzo długi czas. Lampa posiada możliwość podłączenia pod podwójny przełącznik, co również jest niezwykle funkcjonalnym rozwiązaniem. Lampa sufitowa może być zasilana specjalnymi żarówkami dekoracyjnymi, które swoją ciepłą barwą dodadzą pomieszczeniu przytulności i ciepła. </p>;https://light-home.pl/2052-thickbox_default/oryginalna-lampa-loft-5-punktowa-edison-miedziana.jpg;100;5;Lampy sufitowe nowoczesne
20;Lampa Sufitowa Plafon Reflektor;126,27;163,99;Light Home;"<p><strong>Lampa sufitowa 1-płomienna reflektor</strong></p><p>Przedstawiamy lampę sufitową, które wspaniale ozdobi nowoczesne wnętrza oraz będzie funkcjonalnym oświetleniem dla Twojego pomieszczenia.</p><p><strong>Gdzie najlepiej zawiesić nowoczesny reflektor?</strong></p><p>Lampa będzie rewelacyjnie prezentować się w salonie, sypialni, pokoju, biurze czy kuchni. Ze względu na prosty, klasyczny design lampa odnajdzie się w każdym pomieszczeniu. Plafon nada elegancji awangardowym wnętrzom, a do aranżacji retro wprowadzi odrobinę nowoczesności.</p><p><strong>Czy prezentowany plafon jest praktyczny?</strong></p><p>Oczywiście, że tak! Lampa posiada możliwość regulacji kąta padania światła, dzięki czemu skierujesz reflektor w wygodny dla siebie sposób. Plafon stworzony jest w dwóch klasycznych kolorach, aby z łatwością dopasować go do każdego rodzaju pomieszczenia. Lampa sufitowa jest zasilana żarówkami LED AR111 GU10. <br><br/><br/><img alt="""" height=""203"" src=""https://light-home.pl/img/cms/wybor/Oprawa-natynkowa-halogenowa-auris-1495-k.jpg"" width=""767""/></br></p>";https://light-home.pl/6400-thickbox_default/lampa-sufitowa-plafon-reflektor.jpg;100;5;Lampa Sufitowa Plafon Reflektor 
